h = 10^-1, error = 3.3052928644083934e-07
h = 10^-2, error = 3.293260109060725e-11
h = 10^-3, error = 1.8207657603852567e-14
h = 10^-4, error = 1.0734746425100639e-12
h = 10^-5, error = 4.034106382277969e-12
h = 10^-6, error = 2.8088975589923848e-11
h = 10^-7, error = 2.0258236199666158e-09
h = 10^-8, error = 9.427310487808427e-09
h = 10^-9, error = 4.60838407434494e-08
h = 10^-10, error = 2.1261729443722288e-07
h = 10^-11, error = 1.8779518313749577e-06
h = 10^-12, error = 8.51446786782617e-05
h = 10^-13, error = 8.138877501551178e-05
h = 10^-14, error = 0.012686176008173844
h = 10^-15, error = 0.0002664259457863527
h = 10^-16, error = 0.14829616256247388
h = 10^-17, error = 1.517038374375261
h = 10^-18, error = 18.17038374375261
h = 10^-19, error = 184.7038374375261
h = 10^-20, error = 1850.0383743752611
