>> problem1_calculations
First-order accuracy in time

k	inf err	inf rate	2 err 	 2 rate
1/1024	2.508190e-04	-	1.824251e-04	-
1/4096	6.352731e-05	0.990599	4.552322e-05	1.001315
1/16384	1.587421e-05	1.000346	1.137542e-05	1.000342
1/65536	3.968078e-06	1.000086	2.843515e-06	1.000086
1/262144	9.920215e-07	0.999998	7.108574e-07	1.000022

Second order accuracy in space

h	inf err	inf rate	2 err 	 2 rate
1/16	2.586792e-04	-	1.881419e-04	-
1/32	6.542069e-05	1.983345	4.688000e-05	2.004777
1/64	1.625258e-05	2.009078	1.164655e-05	2.009070
1/128	3.968078e-06	2.034156	2.843515e-06	2.034156
1/256	8.974522e-07	2.144533	6.430914e-07	2.144580
