>> problem2_calculations
Second-order accuracy in time

k	inf err	inf rate	2 err 	 2 rate
1/8	2.173901e-05	-	1.536419e-05	-
1/16	5.358565e-06	2.020368	3.841918e-06	1.999673
1/32	1.328935e-06	2.011576	9.522130e-07	2.012471
1/64	3.202598e-07	2.052956	2.294772e-07	2.052933
1/128	6.808230e-08	2.233891	4.877780e-08	2.234055

Second order accuracy in space

h	inf err	inf rate	2 err 	 2 rate
1/16	2.587832e-04	-	1.882175e-04	-
1/32	6.552588e-05	1.981607	4.695538e-05	2.003039
1/64	1.635768e-05	2.002097	1.172187e-05	2.002088
1/128	4.073157e-06	2.005749	2.918814e-06	2.005748
1/256	1.002529e-06	2.022503	7.183869e-07	2.022549
